Gene ID	Product Description	Gene Type	Input ID	# TM Domains	EC numbers	EC numbers from OrthoMCL	
Tb09.v4.0121	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0121	0	N/A	N/A	
Tb09.v4.0122	expression site-associated gene 3 (ESAG3), fragment	pseudogene	Tb09.v4.0122	0	N/A	N/A	
Tb09.v4.0123	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0123	0	N/A	N/A	
Tb09.v4.0124	hypothetical protein	protein coding gene	Tb09.v4.0124	0	N/A	N/A	
Tb09.v4.0125	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0125	0	N/A	N/A	
Tb09.v4.0126	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0126	0	N/A	N/A	
Tb09.v4.0127	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0127	0	N/A	N/A	
Tb09.v4.0128	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0128	0	N/A	N/A	
Tb09.v4.0129	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0129	0	N/A	N/A	
Tb09.v4.0130	expression site-associated gene 3 (ESAG3), fragment	pseudogene	Tb09.v4.0130	0	N/A	N/A	
Tb09.v4.0131	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0131	0	N/A	N/A	
Tb09.v4.0132	expression site-associated gene 2/3 (ESAG2/ESAG3), pseudogene	pseudogene	Tb09.v4.0132	0	N/A	N/A	
Tb09.v4.0133	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0133	0	N/A	N/A	
Tb09.v4.0134	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0134	0	N/A	N/A	
Tb09.v4.0135	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0135	0	N/A	N/A	
Tb09.v4.0136	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb09.v4.0136	0	N/A	N/A	
Tb09.v4.0137	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0137	0	N/A	N/A	
Tb09.v4.0138	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0138	0	N/A	N/A	
Tb09.v4.0139	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0139	0	N/A	N/A	
Tb09.v4.0140	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0140	0	N/A	N/A	
Tb09.v4.0141	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0141	0	N/A	N/A	
Tb09.v4.0142	variant surface glycoprotein	protein coding gene	Tb09.v4.0142	0	N/A	N/A	
Tb09.v4.0143	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0143	0	N/A	N/A	
Tb09.v4.0144	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0144	0	N/A	N/A	
Tb09.v4.0145	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0145	0	N/A	N/A	
Tb09.v4.0146	hypothetical protein	protein coding gene	Tb09.v4.0146	1	N/A	N/A	
Tb09.v4.0147	hypothetical protein	protein coding gene	Tb09.v4.0147	1	N/A	N/A	
Tb09.v4.0148	hypothetical protein	protein coding gene	Tb09.v4.0148	1	N/A	N/A	
Tb09.v4.0149	hypothetical protein	protein coding gene	Tb09.v4.0149	1	N/A	N/A	
Tb09.v4.0150	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0150	0	N/A	N/A	
Tb09.v4.0151	hypothetical protein	protein coding gene	Tb09.v4.0151	0	N/A	N/A	
Tb09.v4.0152	hypothetical protein	protein coding gene	Tb09.v4.0152	1	N/A	N/A	
Tb09.v4.0153	hypothetical protein	protein coding gene	Tb09.v4.0153	1	N/A	N/A	
Tb09.v4.0154	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0154	0	N/A	N/A	
Tb09.v4.0155	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0155	0	N/A	N/A	
Tb09.v4.0156	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0156	0	N/A	N/A	
Tb09.v4.0157	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0157	0	N/A	N/A	
Tb09.v4.0158	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0158	0	N/A	N/A	
Tb09.v4.0159	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0159	0	N/A	N/A	
Tb09.v4.0160	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0160	0	N/A	N/A	
Tb09.v4.0161	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0161	0	N/A	N/A	
Tb09.v4.0162	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0162	0	N/A	N/A	
Tb09.v4.0163	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0163	0	N/A	N/A	
Tb09.v4.0164	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0164	0	N/A	N/A	
Tb09.v4.0165	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0165	0	N/A	N/A	
Tb09.v4.0166	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb09.v4.0166	0	N/A	N/A	
Tb09.v4.0167	hypothetical protein, pseudogene	pseudogene	Tb09.v4.0167	0	N/A	N/A	
Tb09.v4.0168	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0168	0	N/A	N/A	
Tb09.v4.0169	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0169	0	N/A	N/A	
Tb09.v4.0170	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0170	0	N/A	N/A	
Tb09.v4.0171	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0171	0	N/A	N/A	
Tb09.v4.0172	expression site-associated gene 3 (ESAG3), pseudogene	pseudogene	Tb09.v4.0172	0	N/A	N/A	
Tb09.v4.0173	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0173	0	N/A	N/A	
Tb09.v4.0174	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0174	0	N/A	N/A	
Tb09.v4.0175	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0175	0	N/A	N/A	
Tb09.v4.0176	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0176	0	N/A	N/A	
Tb09.v4.0177	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0177	0	N/A	N/A	
Tb09.v4.0178	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0178	0	N/A	N/A	
Tb09.v4.0179	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0179	0	N/A	N/A	
Tb09.v4.0180	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0180	0	N/A	N/A	
Tb09.v4.0181	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0181	0	N/A	N/A	
Tb09.v4.0182	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0182	0	N/A	N/A	
Tb09.v4.0183	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0183	0	N/A	N/A	
Tb09.v4.0184	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0184	0	N/A	N/A	
Tb09.v4.0185	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0185	0	N/A	N/A	
Tb09.v4.0186	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0186	0	N/A	N/A	
Tb09.v4.0187	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0187	0	N/A	N/A	
Tb09.v4.0188	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0188	0	N/A	N/A	
Tb09.v4.0189	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0189	0	N/A	N/A	
Tb09.v4.0190	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0190	0	N/A	N/A	
Tb09.v4.0191	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0191	0	N/A	N/A	
Tb09.v4.0192	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0192	0	N/A	N/A	
Tb09.v4.0193	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0193	0	N/A	N/A	
Tb09.v4.0194	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0194	0	N/A	N/A	
Tb09.v4.0195	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0195	0	N/A	N/A	
Tb09.v4.0196	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0196	0	N/A	N/A	
Tb09.v4.0197	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0197	0	N/A	N/A	
Tb09.v4.0198	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0198	0	N/A	N/A	
Tb09.v4.0199	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0199	0	N/A	N/A	
Tb09.v4.0200	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0200	0	N/A	N/A	
Tb09.v4.0201	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0201	0	N/A	N/A	
Tb09.v4.0202	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0202	0	N/A	N/A	
Tb09.v4.0203	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0203	0	N/A	N/A	
Tb09.v4.0204	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0204	0	N/A	N/A	
Tb09.v4.0205	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0205	0	N/A	N/A	
Tb09.v4.0206	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0206	0	N/A	N/A	
Tb09.v4.0207	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0207	0	N/A	N/A	
Tb09.v4.0208	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0208	0	N/A	N/A	
Tb09.v4.0209	chrIX additional, unordered contigs	pseudogene	Tb09.v4.0209	0	N/A	N/A	
Tb09_rRNA_1	28S beta ribosomal RNA (fragment)	ncRNA gene	Tb09_rRNA_1	N/A	N/A	N/A	
Tb09_rRNA_2	M1 ribosomal RNA	ncRNA gene	Tb09_rRNA_2	N/A	N/A	N/A	
Tb09_rRNA_3	28S alpha ribosomal RNA (fragment)	ncRNA gene	Tb09_rRNA_3	N/A	N/A	N/A	
Tb09_rRNA_4	M2 ribosomal RNA	ncRNA gene	Tb09_rRNA_4	N/A	N/A	N/A	
Tb09_rRNA_5	M6 ribosomal RNA	ncRNA gene	Tb09_rRNA_5	N/A	N/A	N/A	
Tb09_rRNA_6	M4 ribosomal RNA	ncRNA gene	Tb09_rRNA_6	N/A	N/A	N/A	
Tb09_snoRNA_0001	C/D snoRNA, TB9C1C1	ncRNA gene	Tb09_snoRNA_0001	N/A	N/A	N/A	
Tb09_snoRNA_0005	C/D snoRNA, TB9C1C1	ncRNA gene	Tb09_snoRNA_0005	N/A	N/A	N/A	
Tb09_snoRNA_0008	H/ACA snoRNA, TB9Cs1H3	ncRNA gene	Tb09_snoRNA_0008	N/A	N/A	N/A	
Tb09_snoRNA_0076	H/ACA snoRNA, TB9Cs2H1	ncRNA gene	Tb09_snoRNA_0076	N/A	N/A	N/A	
Tb09_snoRNA_0079	C/D snoRNA, TB9C3C1	ncRNA gene	Tb09_snoRNA_0079	N/A	N/A	N/A	
Tb09_snoRNA_0084	C/D snoRNA, TB9C3C1	ncRNA gene	Tb09_snoRNA_0084	N/A	N/A	N/A	
Tb09_snoRNA_0089	C/D snoRNA, TB9C3C1	ncRNA gene	Tb09_snoRNA_0089	N/A	N/A	N/A	
Tb09_tRNA_Gly_1	tRNA Glycine	ncRNA gene	Tb09_tRNA_Gly_1	N/A	N/A	N/A	
Tb10.v4.0032	expression site- associated gene 3 (ESAG3) protein, putative	protein coding gene	Tb10.v4.0032	3	N/A	N/A	
Tb10.v4.0033	pumillo RNA binding protein PUF1	protein coding gene	Tb10.v4.0033	0	N/A	N/A	
Tb10.v4.0034	SAP domain containing protein, putative	protein coding gene	Tb10.v4.0034	0	N/A	N/A	
Tb10.v4.0035	stress-inducible protein STI1-like, putative	protein coding gene	Tb10.v4.0035	0	N/A	N/A	
Tb10.v4.0036	leucine carboxyl methyltransferase, putative	protein coding gene	Tb10.v4.0036	0	2.1.1.233 ([Phosphatase 2A protein]-leucine-carboxy methyltransferase)	2.1.1.233 ([Phosphatase 2A protein]-leucine-carboxy methyltransferase);2.1.1.290 (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	
Tb10.v4.0037	hypothetical protein, conserved	protein coding gene	Tb10.v4.0037	1	N/A	N/A	
Tb10.v4.0038	chrX additional, unordered contigs	protein coding gene	Tb10.v4.0038	0	N/A	2.7.7.7 (DNA-directed DNA polymerase)	
Tb10.v4.0039	hypothetical protein, conserved	protein coding gene	Tb10.v4.0039	0	N/A	N/A	
Tb10.v4.0040	mRNA capping methyltransferase, putative	protein coding gene	Tb10.v4.0040	0	2.1.1.56 (mRNA (guanine-N(7)-)-methyltransferase)	2.1.1.56 (mRNA (guanine-N(7)-)-methyltransferase)	
Tb10.v4.0041	PUB domain containing protein, putative	protein coding gene	Tb10.v4.0041	0	N/A	N/A	
Tb10.v4.0042	hypothetical protein	protein coding gene	Tb10.v4.0042	0	N/A	N/A	
Tb10.v4.0043	chrX additional, unordered contigs	protein coding gene	Tb10.v4.0043	0	1.2.4.4 (3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring))	1.2.4.- (With a disulfide as acceptor.);1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring));1.2.4.4 (3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring))	
Tb10.v4.0044	hypothetical protein, conserved	protein coding gene	Tb10.v4.0044	0	N/A	N/A	
Tb10.v4.0045	prohibitin, putative	protein coding gene	Tb10.v4.0045	1	N/A	N/A	
Tb10.v4.0046	transporter, putative	protein coding gene	Tb10.v4.0046	9	N/A	N/A	
Tb10.v4.0047	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0047	0	N/A	N/A	
Tb10.v4.0048	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0048	0	N/A	N/A	
Tb10.v4.0049	hypothetical protein	protein coding gene	Tb10.v4.0049	0	N/A	N/A	
Tb10.v4.0050	hypothetical protein	protein coding gene	Tb10.v4.0050	0	N/A	N/A	
Tb10.v4.0051	hypothetical protein	protein coding gene	Tb10.v4.0051	4	N/A	N/A	
Tb10.v4.0052	microtubule-associated protein 2	protein coding gene	Tb10.v4.0052	0	N/A	N/A	
Tb10.v4.0053	hypothetical protein	protein coding gene	Tb10.v4.0053	0	N/A	N/A	
Tb10.v4.0054	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0054	0	N/A	N/A	
Tb10.v4.0055	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0055	0	N/A	N/A	
Tb10.v4.0056	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0056	0	N/A	N/A	
Tb10.v4.0057	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb10.v4.0057	0	N/A	N/A	
Tb10.v4.0058	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0058	0	N/A	N/A	
Tb10.v4.0059	chrX additional, unordered contig	pseudogene	Tb10.v4.0059	0	N/A	N/A	
Tb10.v4.0060	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0060	0	N/A	N/A	
Tb10.v4.0061	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0061	0	N/A	N/A	
Tb10.v4.0062	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0062	0	N/A	N/A	
Tb10.v4.0063	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0063	0	N/A	N/A	
Tb10.v4.0064	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0064	0	N/A	N/A	
Tb10.v4.0065	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0065	0	N/A	N/A	
Tb10.v4.0066	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb10.v4.0066	0	N/A	N/A	
Tb10.v4.0067	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0067	0	N/A	N/A	
Tb10.v4.0068	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0068	0	N/A	N/A	
Tb10.v4.0069	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0069	0	N/A	N/A	
Tb10.v4.0070	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0070	1	N/A	N/A	
Tb10.v4.0071	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0071	0	N/A	N/A	
Tb10.v4.0072	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0072	0	N/A	N/A	
Tb10.v4.0073	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0073	0	N/A	N/A	
Tb10.v4.0074	expression site-associated gene 3 (ESAG3, pseudogene), fragment	pseudogene	Tb10.v4.0074	0	N/A	N/A	
Tb10.v4.0075	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0075	0	N/A	N/A	
Tb10.v4.0076	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0076	0	N/A	N/A	
Tb10.v4.0077	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0077	0	N/A	N/A	
Tb10.v4.0078	hypothetical protein	protein coding gene	Tb10.v4.0078	0	N/A	N/A	
Tb10.v4.0079	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0079	0	N/A	N/A	
Tb10.v4.0080	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0080	0	N/A	N/A	
Tb10.v4.0081	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0081	0	N/A	N/A	
Tb10.v4.0082	hypothetical protein	protein coding gene	Tb10.v4.0082	3	N/A	N/A	
Tb10.v4.0083	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0083	0	N/A	N/A	
Tb10.v4.0084	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0084	0	N/A	N/A	
Tb10.v4.0085	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0085	0	N/A	N/A	
Tb10.v4.0086	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0086	0	N/A	N/A	
Tb10.v4.0087	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0087	0	N/A	N/A	
Tb10.v4.0088	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0088	0	N/A	N/A	
Tb10.v4.0089	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0089	1	N/A	N/A	
Tb10.v4.0090	expression site-associated gene 3 (ESAG3, pseudogene), degenerate	pseudogene	Tb10.v4.0090	0	N/A	N/A	
Tb10.v4.0091	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0091	0	N/A	N/A	
Tb10.v4.0092	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0092	0	N/A	N/A	
Tb10.v4.0093	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0093	0	N/A	N/A	
Tb10.v4.0094	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0094	0	N/A	N/A	
Tb10.v4.0095	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0095	0	N/A	N/A	
Tb10.v4.0096	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0096	0	N/A	N/A	
Tb10.v4.0097	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0097	0	N/A	N/A	
Tb10.v4.0098	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0098	0	N/A	N/A	
Tb10.v4.0099	hypothetical protein	protein coding gene	Tb10.v4.0099	0	N/A	N/A	
Tb10.v4.0100	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0100	0	N/A	N/A	
Tb10.v4.0101	expression site-associated gene (ESAG, pseudogene), putative	pseudogene	Tb10.v4.0101	0	N/A	N/A	
Tb10.v4.0102	variant surface glycoprotein (VSG), pseudogene	pseudogene	Tb10.v4.0102	0	N/A	N/A	
Tb10.v4.0103	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	pseudogene	Tb10.v4.0103	0	N/A	N/A	
Tb10.v4.0104	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0104	0	N/A	N/A	
Tb10.v4.0105	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0105	0	N/A	N/A	
Tb10.v4.0106	hypothetical protein, conserved (pseudogene)	pseudogene	Tb10.v4.0106	0	N/A	N/A	
Tb10.v4.0107	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb10.v4.0107	0	N/A	N/A	
Tb10.v4.0108	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0108	0	N/A	N/A	
Tb10.v4.0109	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0109	0	N/A	N/A	
Tb10.v4.0110	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0110	0	N/A	N/A	
Tb10.v4.0111	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0111	0	N/A	N/A	
Tb10.v4.0112	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0112	0	N/A	N/A	
Tb10.v4.0113	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0113	0	N/A	N/A	
Tb10.v4.0114	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0114	0	N/A	N/A	
Tb10.v4.0115	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0115	0	N/A	N/A	
Tb10.v4.0116	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0116	0	N/A	N/A	
Tb10.v4.0117	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0117	0	N/A	N/A	
Tb10.v4.0118	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0118	0	N/A	N/A	
Tb10.v4.0119	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0119	0	N/A	N/A	
Tb10.v4.0120	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0120	0	N/A	N/A	
Tb10.v4.0121	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0121	0	N/A	N/A	
Tb10.v4.0122	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb10.v4.0122	1	N/A	N/A	
Tb10.v4.0123	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0123	0	N/A	N/A	
Tb10.v4.0124	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0124	0	N/A	N/A	
Tb10.v4.0125	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0125	0	N/A	N/A	
Tb10.v4.0126	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0126	0	N/A	N/A	
Tb10.v4.0127	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0127	0	N/A	N/A	
Tb10.v4.0128	hypothetical protein	protein coding gene	Tb10.v4.0128	2	N/A	N/A	
Tb10.v4.0129	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb10.v4.0129	0	N/A	N/A	
Tb10.v4.0130	hypothetical protein	protein coding gene	Tb10.v4.0130	0	N/A	N/A	
Tb10.v4.0131	hypothetical protein	protein coding gene	Tb10.v4.0131	0	N/A	N/A	
Tb10.v4.0132	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0132	1	N/A	N/A	
Tb10.v4.0133	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0133	0	N/A	N/A	
Tb10.v4.0134	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0134	0	N/A	N/A	
Tb10.v4.0135	variant surface glycoprotein (VSG), putative	protein coding gene	Tb10.v4.0135	0	N/A	N/A	
Tb10.v4.0136	variant surface glycoprotein (VSG, pseudogene), putative /product	pseudogene	Tb10.v4.0136	0	N/A	N/A	
Tb10.v4.0137	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb10.v4.0137	0	N/A	N/A	
Tb10.v4.0138	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb10.v4.0138	0	N/A	N/A	
